id,lesson_title,content_title,skill_name,level,categoryId,category_name,subCatName,coverImageId,previewVideoId,createdAt,updatedAt,deletedAt,status,short_description,description,university,link
01KAWP7409ZH98683BM8SRW2C1,Programming for Everybody (Getting Started with Python),"['Introduction to for Everybody', 'Variables and Data Types', 'Control Structures', 'Functions and Methods', 'Advanced for Everybody']",Computer Science Skills,Beginner,cat_computer_science,Computer Science,Programming Languages,01KAWP7409ZH98683BM8SRW2C2,01KAWP7409ZH98683BM8SRW2C3,23/5/2025 12:01,20/11/2025 12:01,,active,"This course is a ""no prerequisite"" introduction to Python Programming. You will learn about variables, conditional execution, repeated execution and how we use functions. The homework is done in a web browser so you can do all of the programming assignments on a phone or public computer.","This course aims to teach everyone the basics of programming computers using Python. We cover the basics of how one constructs a program from a series of simple instructions in Python. The course has no pre-requisites and avoids all but the simplest mathematics. Anyone with moderate computer experience should be able to master the materials in this course. This course will cover Chapters 1-5 of the textbook ""Python for Everybody"". Once a student completes this course, they will be ready to take more advanced programming courses. This course covers Python 3. Computer Science",The University of Michigan,https://www.edx.org/course/programming-for-everybody-getting-started-with-pyt
01KAWP740AE6BT7EA128X7EBVF,English Grammar and Style,"['Introduction to and Style', 'Historical Context', 'Key Concepts', 'Cultural Impact', 'Modern and Style']",Humanities Skills,Beginner,cat_humanities,Humanities,Art History,01KAWP740AE6BT7EA128X7EBVG,01KAWP740AE6BT7EA128X7EBVH,2/2/2025 12:01,20/11/2025 12:01,,active,Learn key concepts and strategies in grammar and style to help enhance your writing and confidently respond to the demand of high levels of literacy in the 21st century.,"With the rise of social media and the Internet, many people are writing more today for different mediums than ever before. We'll present materials that cover grammatical principles, word usage, writing style, sentence and paragraph structure, and punctuation. We'll introduce you to some marvelous resources that we have annotated for your guidance. We'll show you video clips of interviews conducted with distinguished grammarians, challenge you with quizzes and writing activities that will give you strategies to help you to build skills that will enhance the quality of your writing, and invite you to participate in discussions and assess the work of your peers. Humanities",The University of Queensland,https://www.edx.org/course/english-grammar-and-style
01KAWP740BY7G74JPB1DPRK1A7,Data Science: R Basics,"['Introduction to Data Science', 'Data Collection and Cleaning', 'Exploratory Data Analysis', 'Model Building', 'Advanced Data Science Techniques']",Data Science Skills,Beginner,cat_data_science,Data Science,Data Analysis,01KAWP740BY7G74JPB1DPRK1A8,01KAWP740BY7G74JPB1DPRK1A9,11/12/2024 12:01,14/11/2025 12:01,,active,"Build a foundation in R and learn how to wrangle, analyze, and visualize data.","The first in our Professional Certificate Program in Data Science, this course will introduce you to the basics of R programming. You can better retain R when you learn it to solve a specific problem, so you'll use a real-world dataset about crime in the United States. You will learn the R skills needed to answer essential questions about differences in crime across the different states. We'll cover R's functions and data types, then tackle how to operate on vectors and when to use advanced functions like sorting. You'll learn how to apply general programming features like ""if-else,"" and ""for loop"" commands, and how to wrangle, analyze and visualize data. Rather than covering every R skill you might need, you'll build a strong foundation to prepare you for the more in-depth courses later in the series, where we cover concepts like probability, inference, regression, and machine learning. We help you develop a skill set that includes R programming, data wrangling with dplyr, data visualization with ggplot2, file organization with UNIX/Linux, version control with git and GitHub, and reproducible document preparation with RStudio. ",Harvard University,https://www.edx.org/course/data-science-r-basics
01KAWP740BY7G74JPB1DPRK1AA,Python Basics for Data Science,"['Introduction to Data Science', 'Data Collection and Cleaning', 'Exploratory Data Analysis', 'Model Building', 'Advanced Data Science Techniques']",Data Science Skills,Beginner,cat_data_science,Data Science,Data Analysis,01KAWP740BY7G74JPB1DPRK1AB,01KAWP740BY7G74JPB1DPRK1AC,7/7/2025 12:01,22/11/2025 12:01,,active,"This Python course provides a beginner-friendly introduction to Python for Data Science. Practice through lab exercises, and you'll be ready to create your first Python scripts on your own!","Kickstart your learning of Python for data science, as well as programming in general with this introduction to Python course. This beginner-friendly Python course will quickly take you from zero to programming in Python in a matter of hours and give you a taste of how to start working with data in Python. ~~~~Upon its completion, you'll be able to write your own Python scripts and perform basic hands-on data analysis using our Jupyter-based lab environment. If you want to learn Python from scratch, this course is for you.You can start creating your own data science projects and collaborating with other data scientists using IBM Watson Studio. When you sign up, you will receive free access to Watson Studio. Start now and take advantage of this platform and learn the basics of programming, machine learning, and data visualization with this Beginner course.The objectives of this course is to get you started with Python as the programming language and give you a taste of how to start working with data in Python.In this course you will learn about: Data Analysis & Statistics",IBM,https://www.edx.org/course/python-basics-for-data-science
01KAWP740C4QWVZ8YS41SVT2JD,Data Science: Machine Learning,"['Introduction to Data Science', 'Data Collection and Cleaning', 'Exploratory Data Analysis', 'Model Building', 'Advanced Data Science Techniques']",Data Science Skills,Beginner,cat_data_science,Data Science,Data Analysis,01KAWP740C4QWVZ8YS41SVT2JE,01KAWP740C4QWVZ8YS41SVT2JF,13/11/2025 12:01,6/11/2025 12:01,,active,Build a movie recommendation system and learn the science behind one of the most popular and successful data science techniques.,"Perhaps the most popular data science methodologies come from machine learning. What distinguishes machine learning from other computer guided decision processes is that it builds prediction algorithms using data. Some of the most popular products that use machine learning include the handwriting readers implemented by the postal service, speech recognition, movie recommendation systems, and spam detectors. In this course,part ofourProfessional Certificate Program in Data Science, you will learn popular machine learning algorithms, principal component analysis, and regularization by building a movie recommendation system. You will learn about training data, and how to use a set of data to discover potentially predictive relationships. As you build the movie recommendation system, you will learn how to train algorithms using training data so you can predict the outcome for future datasets. You will also learn about overtraining and techniques to avoid it such as cross-validation. All of these skills are fundamental to machine learning. Data Analysis & Statistics",Harvard University,https://www.edx.org/course/data-science-machine-learning
01KAWP740C4QWVZ8YS41SVT2JG,Child Protection: Children's Rights in Theory and Practice,"['Introduction to Child Protection', 'Theoretical Frameworks', 'Research Methods', 'Case Studies', 'Contemporary Child Protection']",Social Sciences Skills,Beginner,cat_social_sciences,Social Sciences,Political Science,01KAWP740C4QWVZ8YS41SVT2JH,01KAWP740C4QWVZ8YS41SVT2JJ,3/2/2025 12:01,2/11/2025 12:01,,active,"Learn how to protect children from violence, exploitation, and neglect through law, policy, and practice in a human rights framework.","Across the world, children are at riskfrom violence, abuse, exploitation, and neglect. Conflict and natural disasters have forced millions to flee their homes and confront the dangers of migration and displacement. Commercial sexual exploitation and trafficking, child labor, and child marriage are problems in many countries. At-risk children and adolescents need their rights enforcedif we are to protect them from harm and to ensure that they develop to their full potential. Led by Jacqueline Bhabha, Research Director of the Harvard FXB Center for Health and Human Rights, this course will teach you the causes and consequences of child protection failures. You will consider the strategies, international laws, standards, and resources required to protect all children. You will be able to link legal frameworks and child-rights approaches to the work of policymakers, lawyers, health workers, educators, law enforcement, and social workers. ",Harvard University,https://www.edx.org/course/child-protection-childrens-rights-in-theory-and-pr
01KAWP740C4QWVZ8YS41SVT2JK,IELTS Academic Test Preparation,"['Introduction to Test Preparation', 'Historical Context', 'Key Concepts', 'Cultural Impact', 'Modern Test Preparation']",Humanities Skills,Beginner,cat_humanities,Humanities,History,01KAWP740C4QWVZ8YS41SVT2JM,01KAWP740C4QWVZ8YS41SVT2JN,4/11/2025 12:01,18/11/2025 12:01,,active,"Prepare for the IELTS Academic tests in this comprehensive, self-paced course covering listening, speaking, reading and writing.","IELTS is the world's most popular English language test for those wanting to study in higher education in an English-speaking country.This IELTS course will prepare you to take the IELTS Academic tests with confidence. You will have immediate access to over 80 hours of interactive practice materials covering each of the four skills: listening, speaking, reading and writing.This innovative preparation course has been designed and written by experienced English teaching professionals from The University of Queensland, an IELTS testing centre and one of the world's leading centres of learning. All of the course writers have extensive experience enabling students to reach their academic IELTS goal of entering a university where English is the primary language.Each section of this course includes engaging multi-media presentations reviewing key test-taking skills, strategies and techniques. These are accompanied by a wide variety of authentic IELTS-style exercises and interactive activities that provide focused practice of the skills, strategies and techniques that you need to perform at your best. ",The University of Queensland,https://www.edx.org/course/ielts-academic-test-preparation
01KAWP740DAXDNGHTGKG2JJ18C,Statistics and R,"['Introduction to and R', 'Variables and Data Types', 'Control Structures', 'Functions and Methods', 'Advanced and R']",Computer Science Skills,Intermediate,cat_computer_science,Computer Science,Programming Languages,01KAWP740DAXDNGHTGKG2JJ18D,01KAWP740DAXDNGHTGKG2JJ18E,17/8/2025 12:01,23/11/2025 12:01,,active,An introduction to basic statistical concepts and R programming skills necessary for analyzing data in the life sciences.,"This course teaches the R programming language in the context of statistical data and statistical analysis in the life sciences.We will learn the basics of statistical inference in order to understand and compute p-values and confidence intervals, all while analyzing data with R code. We provide R programming examples in a way that will help make the connection between concepts and implementation. Problem sets requiring R programming will be used to test understanding and ability to implement basic data analyses. We will use visualization techniques to explore new data sets and determine the most appropriate approach. We will describe robust statistical techniques as alternatives when data do not fit assumptions required by the standard approaches. By using R scripts to analyze data, you will learn the basics of conducting reproducible research.Given the diversity in educational background of our students we have divided the course materials into seven parts. You can take the entire series or individual courses that interest you. If you are a statistician you should consider skipping the first two or three courses, similarly, if you are biologists you should consider skipping some of the Beginner biology lectures. ",Harvard University,https://www.edx.org/course/statistics-and-r
01KAWP740EB6PMEM51G91YDNGM,Data Science: Visualization,"['Introduction to Data Science', 'Data Collection and Cleaning', 'Exploratory Data Analysis', 'Model Building', 'Advanced Data Science Techniques']",Data Science Skills,Beginner,cat_data_science,Data Science,Data Analysis,01KAWP740EB6PMEM51G91YDNGN,01KAWP740EB6PMEM51G91YDNGP,9/7/2025 12:01,2/11/2025 12:01,,active,Learn basic data visualization principles and how to apply them using ggplot2.,"As part of our Professional Certificate Program in Data Science, this course covers the basics of data visualization and exploratory data analysis. We will use three motivating examples and ggplot2, a data visualization package for the statistical programming language R. We will start with simple datasets and then graduate to case studies about world health, economics, and infectious disease trends in the United States. We'll also be looking at how mistakes, biases, systematic errors, and other unexpected problems often lead to data that should be handled with care. The fact that it can be difficult or impossible to notice a mistake within a dataset makes data visualization particularly important. The growing availability of informative datasets and software tools has led to increased reliance on data visualizations across many areas. Data visualization provides a powerful way to communicate data-driven findings, motivate analyses, and detect flaws. This course will give you the skills you need to leverage data to reveal valuable insights and advance your career. Data Analysis & Statistics",Harvard University,https://www.edx.org/course/data-science-visualization
01KAWP740FJJC32W55EVYJ94VP,Introduction to Probability,"['Introduction to Probability', 'Variables and Data Types', 'Control Structures', 'Functions and Methods', 'Advanced Probability']",Computer Science Skills,Intermediate,cat_computer_science,Computer Science,Data Structures,01KAWP740FJJC32W55EVYJ94VQ,01KAWP740FJJC32W55EVYJ94VR,20/3/2025 12:01,10/11/2025 12:01,,active,"Learn probability, an essential language and set of tools for understanding data, randomness, and uncertainty.","Probability and statistics help to bring logic to a world replete with randomness and uncertainty. This course will give you tools needed to understand data, science, philosophy, engineering, economics, and finance. You will learn not only how to solve challenging technical problems, but also how you can apply those solutions in everyday life. With examples ranging from medical testing to sports prediction, you will gain a strong foundation for the study of statistical inference, stochastic processes, randomized algorithms, and other subjects where probability is needed. Data Analysis & Statistics",Harvard University,https://www.edx.org/course/introduction-to-probability
