id,type,question,explanation,score,createdAt,status,answer
1,multiple_choice,"In Python, what is the value of sum([i for i in range(5) if i % 2 == 0])?","range(5) gives 0,1,2,3,4. The even numbers are 0,2,4, and 0+2+4 = 6.",1,2025-12-08T00:00:00Z,active,"{""2"": false, ""4"": false, ""6"": true, ""8"": false}"
2,multiple_choice,"In Python, what is the value of len(set([1, 2, 2, 3, 3, 3]))?","set([1,2,2,3,3,3]) is {1,2,3}, which has length 3.",1,2025-12-08T00:00:00Z,active,"{""2"": false, ""3"": true, ""4"": false, ""5"": false}"
3,multiple_choice,"Given s = 'abcdef' in Python, what is the value of s[1:5:2]?","Indices used are 1 and 3, so characters are 'b' and 'd', giving 'bd'.",1,2025-12-08T00:00:00Z,active,"{""ab"": false, ""bd"": true, ""bdf"": false, ""ace"": false}"
4,multiple_choice,"In JavaScript, what does the following print? let a = 1; console.log(a++ + ++a);","a++ returns 1 then a becomes 2; ++a makes a 3, so 1 + 3 = 4.",1,2025-12-08T00:00:00Z,active,"{""2"": false, ""3"": false, ""4"": true, ""5"": false}"
5,multiple_choice,"In Python, with a = [1, 2] and b = [1, 2], what does print(a == b, a is b) output?","a and b have the same contents, so a == b is True, but they are different objects in memory so a is b is False.",1,2025-12-08T00:00:00Z,active,"{""True True"": false, ""True False"": true, ""False True"": false, ""False False"": false}"
6,multiple_choice,Solve for x: 3x − 5 = 2x + 7.,3x − 5 = 2x + 7 ⇒ 3x − 2x = 7 + 5 ⇒ x = 12.,1,2025-12-08T00:00:00Z,active,"{""-12"": false, ""-2"": false, ""2"": false, ""12"": true}"
7,multiple_choice,Which is the correct factorization of x² − 5x + 6?,"The numbers -2 and -3 multiply to 6 and add to -5, so (x − 2)(x − 3).",1,2025-12-08T00:00:00Z,active,"{""(x − 1)(x − 6)"": false, ""(x − 2)(x − 3)"": true, ""(x + 2)(x + 3)"": false, ""(x + 1)(x + 6)"": false}"
8,multiple_choice,What is the domain of f(x) = √(x − 2)?,"The expression under the square root must be ≥ 0, so x − 2 ≥ 0 ⇒ x ≥ 2.",1,2025-12-08T00:00:00Z,active,"{""All real numbers"": false, ""x > 2"": false, ""x ≥ 2"": true, ""x ≤ 2"": false}"
9,multiple_choice,Solve for x: 2(x − 3) = 3(x + 1).,2x − 6 = 3x + 3 ⇒ -6 − 3 = 3x − 2x ⇒ -9 = x.,1,2025-12-08T00:00:00Z,active,"{""-9"": true, ""-3"": false, ""3"": false, ""9"": false}"
10,multiple_choice,"Consider the sequence 2, 5, 8, 11, .... Which description is correct?","Each term increases by 3, so it is an arithmetic sequence with common difference 3.",1,2025-12-08T00:00:00Z,active,"{""Arithmetic sequence with common difference 2"": false, ""Arithmetic sequence with common difference 3"": true, ""Geometric sequence with ratio 2"": false, ""Geometric sequence with ratio 3"": false}"
11,multiple_choice,Which SQL query correctly returns the number of orders per customer?,"We need to group by customer_id and count rows: SELECT customer_id, COUNT(*) AS order_count FROM orders GROUP BY customer_id;",1,2025-12-08T00:00:00Z,active,"{""SELECT COUNT(*) FROM orders;"": false, ""SELECT customer_id, COUNT(*) AS order_count FROM orders GROUP BY customer_id;"": true, ""SELECT DISTINCT customer_id FROM orders;"": false, ""SELECT customer_id FROM orders GROUP BY customer_id;"": false}"
