id,isCorrect,value,order,createdAt,questionId
01KCXGG0TY0001H0Q1FW2PMNMR,True,will be sent,1,2025-12-08T00:00:00Z,01KCXGG0SP0001H0Q1FW1GGQJ0
01KCXGG0TY0001H0Q1FW2PPBBG,False,sends,2,2025-12-08T00:00:00Z,01KCXGG0SP0001H0Q1FW1GGQJ0
01KCXGG0TY0001H0Q1FW2PQW60,False,was sending,3,2025-12-08T00:00:00Z,01KCXGG0SP0001H0Q1FW1GGQJ0
01KCXGG0TY0001H0Q1FW2PS848,False,is sending,4,2025-12-08T00:00:00Z,01KCXGG0SP0001H0Q1FW1GGQJ0
01KCXGG0TY0001H0Q1FW2PTK38,True,at,1,2025-12-08T00:00:00Z,01KCXGG0SP0001H0Q1FW1GK6N8
01KCXGG0TY0001H0Q1FW2PVX30,False,on,2,2025-12-08T00:00:00Z,01KCXGG0SP0001H0Q1FW1GK6N8
01KCXGG0TY0001H0Q1FW2PX72R,False,in,3,2025-12-08T00:00:00Z,01KCXGG0SP0001H0Q1FW1GK6N8
01KCXGG0TY0001H0Q1FW2PYH2G,False,by,4,2025-12-08T00:00:00Z,01KCXGG0SP0001H0Q1FW1GK6N8
01KCXGG0TY0001H0Q1FW2PZT30,True,effective,1,2025-12-08T00:00:00Z,01KCXGG0SP0001H0Q1FW1GNA1G
01KCXGG0TZ0001H0Q1FW2Q142R,False,responsive,2,2025-12-08T00:00:00Z,01KCXGG0SP0001H0Q1FW1GNA1G
01KCXGG0TZ0001H0Q1FW2Q2E2G,False,reflective,3,2025-12-08T00:00:00Z,01KCXGG0SP0001H0Q1FW1GNA1G
01KCXGG0TZ0001H0Q1FW2Q3Q30,False,comparable,4,2025-12-08T00:00:00Z,01KCXGG0SP0001H0Q1FW1GNA1G
01KCXGG0TZ0001H0Q1FW2Q55Z0,True,therefore,1,2025-12-08T00:00:00Z,01KCXGG0SP0001H0Q1FW1GQ9GR
01KCXGG0TZ0001H0Q1FW2Q6RR0,False,meanwhile,2,2025-12-08T00:00:00Z,01KCXGG0SP0001H0Q1FW1GQ9GR
01KCXGG0TZ0001H0Q1FW2Q81RG,False,however,3,2025-12-08T00:00:00Z,01KCXGG0SP0001H0Q1FW1GQ9GR
01KCXGG0TZ0001H0Q1FW2Q9BR8,False,instead,4,2025-12-08T00:00:00Z,01KCXGG0SP0001H0Q1FW1GQ9GR
01KCXGG0TZ0001H0Q1FW2QAQPG,True,submitted,1,2025-12-08T00:00:00Z,01KCXGG0SP0001H0Q1FW1GS71G
01KCXGG0TZ0001H0Q1FW2QC0Q0,False,submit,2,2025-12-08T00:00:00Z,01KCXGG0SP0001H0Q1FW1GS71G
01KCXGG0TZ0001H0Q1FW2QD9QG,False,submitting,3,2025-12-08T00:00:00Z,01KCXGG0SP0001H0Q1FW1GS71G
01KCXGG0TZ0001H0Q1FW2QEKQ8,False,having submitted,4,2025-12-08T00:00:00Z,01KCXGG0SP0001H0Q1FW1GS71G
