id,examResultQuestionId,answerId,answerValue,isCorrect,createdAt
01KCXK1Q2V5R7WDHQDKCDRAK9K,01KCXK1Q2TH70F3N3107YZX7EX,01KCXGG0TY0001H0Q1FW2PMNMR,will be sent,True,2025-12-01T09:00:00Z
01KCXK1Q2W5TFG1M6Q9KB0EEQZ,01KCXK1Q2VY9FJC4TZ2494BEFJ,01KCXGG0TY0001H0Q1FW2PTK38,at,True,2025-12-01T09:00:00Z
01KCXK1Q2XJB3YDW53Z795QQGG,01KCXK1Q2WX6Y4X1J25Q7ZJVD8,01KCXGG0TY0001H0Q1FW2PZT30,effective,True,2025-12-01T09:00:00Z
01KCXK1Q2YNJQTVQ6WB428VFMY,01KCXK1Q2XD8TV1MB3ZVVKQK61,01KCXGG0TZ0001H0Q1FW2Q81RG,however,False,2025-12-01T09:00:00Z
01KCXK1Q2YESM9GB8VXEQK0CFB,01KCXK1Q2Y6MEVKPYB3B1KY9DC,01KCXGG0TZ0001H0Q1FW2QAQPG,submitted,True,2025-12-01T09:00:00Z
01KCXK1Q2Z2MATACZD95HGSE38,01KCXK1Q2YY71FV3CMKD0HE6DG,01KCXGG0TZ0001H0Q1FW2QFWQR,information,True,2025-12-01T09:00:00Z
01KCXK1Q2ZCMBCPFR9YQ17ZH4T,01KCXK1Q2ZVHCY9EB6387YX7PZ,01KCXGG0TZ0001H0Q1FW2QN2R8,will explain,True,2025-12-01T09:00:00Z
01KCXK1Q30H5FA6DP4KYVQDBCC,01KCXK1Q2Z4XDPHXSXTQZJPEXK,01KCXGG0TZ0001H0Q1FW2QTHJ0,patience,True,2025-12-01T09:00:00Z
01KCXK1Q30WHFW3HTW3WPJ0TCT,01KCXK1Q30Z56VMNKBAXGHXE24,01KCXGG0V00001H0Q1FW2QZXE0,ships,True,2025-12-01T09:00:00Z
01KCXK1Q31HNATN2ZYX6WYD1K5,01KCXK1Q30PQ5XKCSBDVPQ5G8J,01KCXGG0V00001H0Q1FW2R7KH0,have verified,False,2025-12-01T09:00:00Z
01KCXK1Q323C07P8ZP8YAB7ASJ,01KCXK1Q31SKY0041PZ0MWYFGF,01KCXGG0V00001H0Q1FW2RA6H8,an initiative,True,2025-12-01T09:00:00Z
